episode,score,return,epsilon,best_score,steps,loss
236,0,-5.041,0.91032,1,5,0.0037695919163525105
237,0,-5.0,0.90994,1,1,0.0036041189450770617
238,0,-5.0,0.90956,1,1,0.0038996562361717224
239,0,-5.0,0.90918,1,1,0.0035223320592194796
240,0,-5.0515,0.9088,1,6,0.0026588246691972017
241,1,-4.6891,0.90842,1,20,0.001918118679895997
242,0,-5.1853,0.90804,1,18,0.003231601556763053
243,0,-5.0,0.90766,1,1,0.006437909789383411
244,0,-5.0,0.90728,1,1,0.0018859528936445713
245,0,-5.0,0.9069,1,1,0.005388351157307625
246,0,-5.0,0.90652,1,1,0.002928666304796934
247,0,-5.0203,0.90614,1,3,0.004536872263997793
248,0,-5.0515,0.90576,1,6,0.0028112332802265882
249,0,-5.1166,0.90538,1,12,0.0018450645729899406
250,0,-5.0101,0.905,1,2,0.006172666326165199
251,0,-5.0,0.90462,1,1,0.004932773299515247
252,0,-5.0,0.90424,1,1,0.0037466101348400116
253,0,-5.0,0.90386,1,1,0.003223123960196972
254,0,-5.0203,0.9034800000000001,1,3,0.002591990865767002
255,0,-5.1278,0.9031,1,13,0.0030630012042820454
256,0,-5.0306,0.90272,1,4,0.0019244812428951263
257,0,-5.0101,0.90234,1,2,0.0038863702211529016
258,0,-5.0306,0.90196,1,4,0.0036939079873263836
259,0,-5.0,0.90158,1,1,0.003189616370946169
260,0,-5.1055,0.9012,1,11,0.0018454315140843391
261,0,-5.0,0.90082,1,1,0.0016877681482583284
262,0,-5.0,0.90044,1,1,0.0017933197086676955
263,0,-5.041,0.90006,1,5,0.0018828172469511628
264,0,-5.0203,0.89968,1,3,0.0018200620543211699
265,0,-5.041,0.8993,1,5,0.003064434975385666
266,0,-5.0101,0.89892,1,2,0.003069329308345914
267,0,-5.1736,0.89854,1,17,0.0022720596753060818
268,1,-4.7534,0.89816,1,25,0.004250990226864815
269,0,-5.041,0.89778,1,5,0.0020170146599411964
270,0,-5.0203,0.8974,1,3,0.0018864513840526342
271,0,-5.0515,0.89702,1,6,0.002991682616993785
272,0,-5.0621,0.89664,1,7,0.0022673839703202248
273,0,-5.0101,0.8962600000000001,1,2,0.003283621044829488
274,0,-5.0,0.89588,1,1,0.0024829155299812555
275,1,-4.5100999999999996,0.8955,1,3,0.0021859745029360056
276,0,-5.1166,0.89512,1,12,0.0022520539350807667
277,0,-5.0,0.89474,1,1,0.0028646979480981827
278,0,-5.0,0.89436,1,1,0.0019205173011869192
279,0,-5.041,0.89398,1,5,0.0020838994532823563
280,0,-5.0,0.8936,1,1,0.002667927648872137
281,0,-5.0,0.89322,1,1,0.0035722614265978336
282,0,-5.0101,0.89284,1,2,0.003997656982392073
283,0,-5.1055,0.89246,1,11,0.03147519379854202
284,0,-5.0728,0.89208,1,8,0.007115606218576431
285,0,-5.0728,0.8917,1,8,0.003367906203493476
286,0,-5.162,0.89132,1,16,0.0056285373866558075
