episode,score,return,epsilon,best_score,steps,loss
1744,0,-1.0,0.33728,5,1,0.011701883748173714
1745,0,-1.1055,0.3369000000000001,5,11,0.008155658841133118
1746,0,-1.1166,0.33652000000000004,5,12,0.011879947036504745
1747,1,-0.12580000000000002,0.3361400000000001,5,14,0.008499367162585258
1748,0,-1.0,0.33575999999999995,5,1,0.00414968840777874
1749,2,0.9899,0.33538,5,4,0.005766501184552908
1750,3,1.7264999999999997,0.3350000000000001,5,30,0.004496592562645674
1751,1,-0.13690000000000002,0.33462000000000003,5,15,0.005762161687016487
1752,0,-1.1505,0.3342400000000001,5,15,0.00780133344233036
1753,1,-0.14649999999999996,0.33385999999999993,5,16,0.008217938244342804
1754,0,-1.1055,0.33348,5,11,0.004600281361490488
1755,0,-1.0836000000000001,0.33310000000000006,5,9,0.004545910749584436
1756,0,-1.0621,0.33272,5,7,0.006862430367618799
1757,0,-1.0836000000000001,0.3323400000000001,5,9,0.011772390455007553
1758,0,-1.0515,0.33196000000000003,5,6,0.003453141078352928
1759,0,-1.0836000000000001,0.33158,5,9,0.005107633303850889
1760,2,0.7257,0.33120000000000005,5,29,0.007964899763464928
1761,1,-0.3265000000000001,0.33082,5,32,0.009853117167949677
1762,1,-0.30909999999999993,0.33044000000000007,5,30,0.006539860740303993
1763,0,-1.1971,0.33006,5,19,0.007964007556438446
1764,0,-1.1971,0.32968,5,19,0.008091308176517487
1765,0,-1.0,0.32930000000000004,5,1,0.005307987332344055
1766,0,-1.0,0.32892,5,1,0.012805184349417686
1767,1,-0.18900000000000006,0.32854000000000005,5,20,0.008339514955878258
1768,1,-0.062100000000000044,0.32816,5,8,0.006703288294374943
1769,0,-1.0,0.32778000000000007,5,1,0.009178617037832737
1770,0,-1.0203,0.3274,5,3,0.005381599999964237
1771,1,-0.2134999999999999,0.32702,5,22,0.0056850602850317955
1772,2,0.3843000000000001,0.32664000000000004,5,57,0.01047121174633503
1773,1,-0.3436,0.32626,5,32,0.00877649150788784
1774,0,-1.0203,0.32588000000000006,5,3,0.007600740063935518
1775,0,-1.1853,0.3255,5,18,0.005145832896232605
1776,0,-1.0621,0.32511999999999996,5,7,0.00571400485932827
1777,0,-1.1505,0.32474000000000003,5,15,0.007084742188453674
1778,0,-1.0306,0.32436,5,4,0.006186691112816334
1779,0,-1.0101,0.32398000000000005,5,2,0.007207802031189203
1780,1,-0.1481,0.3236000000000001,5,16,0.008884161710739136
1781,0,-1.0,0.32321999999999995,5,1,0.0092585738748312
1782,0,-1.0728,0.32284,5,8,0.005548578687012196
1783,0,-1.0101,0.3224600000000001,5,2,0.008792731910943985
1784,0,-1.1505,0.32208000000000003,5,15,0.008811268024146557
1785,0,-1.0728,0.3217000000000001,5,8,0.005653828382492065
1786,0,-1.0,0.32132000000000005,5,1,0.006243713200092316
1787,0,-1.0,0.32094,5,1,0.0034223354887217283
1788,4,2.030699999999999,0.32056000000000007,5,88,0.005291936453431845
1789,0,-1.0101,0.32018,5,2,0.0048366729170084
1790,0,-1.0101,0.3198000000000001,5,2,0.005550284869968891
1791,0,-1.1505,0.31942000000000004,5,15,0.006018271204084158
1792,0,-1.0,0.31904,5,1,0.00683986209332943
1793,2,0.3753000000000002,0.31866000000000005,5,59,0.006189795210957527
1794,0,-1.1055,0.31828,5,11,0.007197708822786808
1795,0,-1.1278,0.31790000000000007,5,13,0.006201767362654209
1796,2,0.8237000000000003,0.31752,5,20,0.006900027859956026
1797,1,-0.37060000000000004,0.3171400000000001,5,36,0.012009049765765667
1798,2,0.8177000000000001,0.31676000000000004,5,20,0.010928396135568619
1799,3,1.8351000000000002,0.31638,5,20,0.009822959080338478
1800,1,-0.18369999999999997,0.31600000000000006,5,19,0.01328759640455246
1801,1,-0.03059999999999996,0.31562,5,5,0.007520907558500767
1802,1,-0.1361,0.3152400000000001,5,15,0.005820394493639469
1803,2,0.9387000000000001,0.31486000000000003,5,9,0.008305561728775501
1804,4,2.3966000000000003,0.31448,5,61,0.004599062725901604
1805,0,-1.2576,0.31410000000000005,5,24,0.007453177124261856
1806,1,-0.12459999999999993,0.31372,5,14,0.005043982062488794
1807,3,1.5577000000000005,0.31334000000000006,5,45,0.008016258478164673
1808,0,-1.0621,0.3129600000000001,5,7,0.004646025598049164
1809,1,-0.3244,0.31257999999999997,5,32,0.007445830851793289
1810,2,0.9696,0.31220000000000003,5,6,0.007090292870998383
1811,0,-1.0515,0.31182,5,6,0.009663678705692291
1812,2,0.8021,0.31144000000000005,5,22,0.005566436797380447
1813,0,-1.041,0.3110600000000001,5,5,0.006683458108454943
1814,1,-0.08240000000000003,0.31067999999999996,5,10,0.009999830275774002
1815,3,1.4996999999999998,0.3103,5,49,0.005384537391364574
1816,4,2.5151,0.30992,5,50,0.022232897579669952
1817,2,0.8218999999999999,0.30954000000000004,5,20,0.011827146634459496
1818,1,-0.377,0.3091600000000001,5,36,0.007500567939132452
1819,1,-0.23109999999999997,0.30878000000000005,5,23,0.00745784305036068
1820,0,-1.0,0.3084,5,1,0.008961781859397888
1821,3,1.3042999999999996,0.30801999999999996,5,67,0.009805132634937763
1822,0,-1.0101,0.30764,5,2,0.0049148425459861755
1823,0,-1.1278,0.3072600000000001,5,13,0.007831688970327377
1824,0,-1.041,0.30688000000000004,5,5,0.007010500878095627
1825,3,1.7387000000000001,0.3065,5,29,0.010318593122065067
1826,0,-1.1278,0.30611999999999995,5,13,0.013385950587689877
1827,1,-0.2681,0.30574,5,27,0.020566536113619804
1828,1,-0.13790000000000002,0.3053600000000001,5,15,0.007218051701784134
1829,3,1.7702000000000004,0.30498000000000003,5,26,0.006814518943428993
1830,0,-1.041,0.3046000000000001,5,5,0.00525328516960144
1831,0,-1.0,0.30421999999999993,5,1,0.0060815587639808655
1832,1,-0.1673,0.30384,5,18,0.01181697752326727
1833,0,-1.0101,0.30346000000000006,5,2,0.009549718350172043
1834,2,0.9492,0.30308,5,8,0.007244340609759092
1835,0,-1.0203,0.3027000000000001,5,3,0.009741011075675488
1836,1,-0.24460000000000004,0.30232000000000003,5,25,0.005726252682507038
1837,2,0.8235000000000001,0.30194,5,20,0.007250714115798473
1838,0,-1.0621,0.30156000000000005,5,7,0.011161359027028084
1839,0,-1.0203,0.30118,5,3,0.007977498695254326
1840,1,-0.05109999999999992,0.30080000000000007,5,7,0.006961077451705933
1841,1,-0.15839999999999999,0.30042,5,17,0.008944369852542877
1842,1,-0.06119999999999992,0.30004,5,8,0.0048745619133114815
1843,2,0.7684000000000002,0.29966000000000004,5,25,0.010796040296554565
1844,1,-0.28979999999999995,0.29928,5,29,0.00619441457092762
1845,2,0.7262,0.29890000000000005,5,29,0.015148252248764038
1846,1,-0.08360000000000001,0.2985200000000001,5,10,0.013136869296431541
1847,1,-0.25649999999999995,0.29814000000000007,5,26,0.011691655032336712
1848,2,0.6828000000000003,0.29776,5,33,0.006495541427284479
1849,1,-0.11560000000000004,0.29738,5,13,0.014537261798977852
1850,2,0.7789999999999999,0.29700000000000004,5,23,0.004223444499075413
1851,0,-1.041,0.2966200000000001,5,5,0.011353546753525734
1852,0,-1.221,0.29624000000000006,5,21,0.006533842068165541
1853,5,3.2798999999999987,0.29586,5,73,0.004720746073871851
1854,0,-1.0621,0.29547999999999996,5,7,0.006522337906062603
1855,2,0.6297999999999999,0.29510000000000003,5,37,0.006405359134078026
1856,3,1.6317999999999997,0.2947200000000001,5,38,0.010804666206240654
1857,2,0.6672,0.29434000000000005,5,34,0.006101205479353666
1858,0,-1.0515,0.2939600000000001,5,6,0.00668096449226141
1859,0,-1.0836000000000001,0.29357999999999995,5,9,0.0056548104621469975
1860,3,1.3556,0.2932,5,62,0.005800409242510796
1861,0,-1.0306,0.2928200000000001,5,4,0.004083801526576281
1862,0,-1.0621,0.29244000000000003,5,7,0.008402502164244652
1863,2,0.7128000000000003,0.2920600000000001,5,30,0.006392205134034157
1864,0,-1.0,0.29167999999999994,5,1,0.005944965407252312
1865,2,0.29900000000000015,0.2913,5,61,0.015806525945663452
1866,0,-1.0306,0.29092000000000007,5,4,0.01197420060634613
1867,0,-1.1505,0.29054,5,15,0.008092301897704601
1868,2,0.8229000000000006,0.2901600000000001,5,20,0.008995316922664642
1869,0,-1.0836000000000001,0.28978000000000004,5,9,0.008307836018502712
1870,0,-1.0306,0.2894,5,4,0.010942473076283932
1871,0,-1.0,0.28902000000000005,5,1,0.008822524920105934
1872,1,-0.14650000000000007,0.28864,5,16,0.008288383483886719
1873,0,-1.0,0.28826000000000007,5,1,0.011286028660833836
1874,0,-1.0,0.28788,5,1,0.009856694377958775
1875,1,-0.25540000000000007,0.2875000000000001,5,25,0.010226141661405563
1876,2,0.5680000000000001,0.28712000000000004,5,42,0.01039094291627407
1877,2,0.5658000000000001,0.28674,5,42,0.023763254284858704
1878,1,-0.2725000000000001,0.28636000000000006,5,27,0.009024212136864662
1879,0,-1.0,0.28598,5,1,0.007686101831495762
1880,0,-1.0101,0.2856000000000001,5,2,0.007212065160274506
1881,1,-0.24639999999999995,0.28522000000000003,5,25,0.004222722724080086
1882,0,-1.0515,0.28484,5,6,0.009577428922057152
1883,2,0.8645,0.28446000000000005,5,16,0.006813253276050091
1884,2,0.8009000000000004,0.28408,5,22,0.0072512938641011715
1885,2,0.6706000000000001,0.28370000000000006,5,33,0.009147106669843197
1886,2,0.8631000000000004,0.2833200000000001,5,16,0.004328024107962847
1887,0,-1.0945,0.28293999999999997,5,10,0.006362420506775379
1888,4,2.6077999999999992,0.28256000000000003,5,42,0.0049118478782474995
1889,1,-0.0937,0.28218,5,11,0.008025012910366058
1890,1,-0.16720000000000002,0.28180000000000005,5,18,0.004679928068071604
1891,0,-1.2331,0.2814200000000001,5,22,0.01470400020480156
1892,0,-1.0,0.28103999999999996,5,1,0.010279640555381775
1893,0,-1.0306,0.28066,5,4,0.018795739859342575
1894,0,-1.0,0.28028,5,1,0.005901846569031477
1895,1,-0.06159999999999999,0.27990000000000004,5,8,0.005307902581989765
1896,0,-1.0515,0.2795200000000001,5,6,0.014393757097423077
1897,1,-0.010099999999999998,0.27914000000000005,5,3,0.005552264861762524
1898,3,1.5059999999999993,0.27876,5,50,0.007861225865781307
1899,5,3.246699999999999,0.27837999999999996,5,76,0.01328069344162941
1900,1,-0.22409999999999997,0.278,5,23,0.011913418769836426
1901,3,1.6638000000000002,0.2776200000000001,5,35,0.01648690178990364
1902,0,-1.1971,0.27724000000000004,5,19,0.00920131430029869
1903,0,-1.0,0.27686,5,1,0.008696269243955612
1904,1,-0.2801,0.27647999999999995,5,27,0.008751287125051022
1905,3,1.5754000000000001,0.2761,5,43,0.007378485053777695
1906,0,-1.1505,0.2757200000000001,5,15,0.008078738115727901
1907,0,-1.0306,0.27534000000000003,5,4,0.005971819162368774
1908,0,-1.0306,0.2749600000000001,5,4,0.005738151725381613
1909,0,-1.0101,0.27458000000000005,5,2,0.008007550612092018
1910,2,0.6786000000000001,0.2742,5,33,0.013343067839741707
1911,1,-0.1251,0.27382000000000006,5,14,0.005380667746067047
1912,1,-0.3046,0.27344,5,30,0.004862484522163868
1913,2,0.8,0.2730600000000001,5,22,0.00720857223495841
1914,1,-0.18369999999999997,0.27268000000000003,5,19,0.007220788858830929
1915,0,-1.0,0.2723,5,1,0.01041160523891449
1916,0,-1.0203,0.27192000000000005,5,3,0.0075759668834507465
1917,0,-1.0306,0.27154,5,4,0.009980682283639908
1918,3,1.3815999999999993,0.27116000000000007,5,61,0.007810994051396847
1919,4,2.405199999999999,0.27078000000000013,5,58,0.013176877982914448
1920,0,-1.0,0.2704,5,1,0.007997000589966774
1921,0,-1.0945,0.27002000000000004,5,10,0.011021698825061321
1922,1,-0.05149999999999999,0.26964,5,7,0.006722623482346535
1923,3,1.6423999999999999,0.26926000000000005,5,38,0.004556864965707064
1924,0,-1.0515,0.2688800000000001,5,6,0.009841060265898705
1925,6,4.272999999999999,0.26850000000000007,6,75,0.011088903062045574
1926,1,-0.0716,0.26812,6,9,0.01457695011049509
1927,0,-1.0306,0.26774,6,4,0.012227017432451248
1928,5,3.2121999999999993,0.26736000000000004,6,79,0.016182616353034973
1929,4,2.403199999999999,0.2669800000000001,6,59,0.007585424464195967
1930,0,-1.1391,0.26660000000000006,6,14,0.012944514863193035
1931,2,0.5593000000000001,0.26622,6,43,0.005401641130447388
1932,1,-0.050899999999999945,0.26583999999999997,6,7,0.008121254853904247
1933,1,-0.15049999999999997,0.26546000000000003,6,16,0.00929718092083931
1934,0,-1.162,0.2650800000000001,6,16,0.006683300249278545
1935,1,-0.2902,0.26470000000000005,6,29,0.006060997024178505
1936,0,-1.0203,0.2643200000000001,6,3,0.008438309654593468
1937,3,1.6199,0.26393999999999995,6,40,0.016378074884414673
1938,2,0.843,0.26356,6,18,0.008189232088625431
1939,1,-0.020299999999999985,0.2631800000000001,6,4,0.008209413848817348
1940,2,0.6261000000000001,0.26280000000000003,6,38,0.009978876449167728
1941,0,-1.041,0.2624200000000001,6,5,0.005368546117097139
1942,0,-1.0945,0.26203999999999994,6,10,0.01528225839138031
1943,0,-1.0621,0.26166,6,7,0.012463039718568325
1944,2,0.78,0.26128000000000007,6,24,0.006418241653591394
1945,1,-0.1673,0.2609,6,18,0.008827384561300278
1946,2,0.7333000000000003,0.2605200000000001,6,28,0.007059822790324688
1947,1,-0.20020000000000004,0.26014000000000004,6,21,0.008229011669754982
1948,0,-1.0945,0.25976,6,10,0.008373572491109371
1949,4,2.8961999999999994,0.25938000000000005,6,15,0.008850214071571827
1950,0,-1.27,0.259,6,25,0.009069086983799934
1951,0,-1.041,0.25862000000000007,6,5,0.011708183214068413
1952,1,-0.010099999999999998,0.25824,6,3,0.009530124254524708
1953,5,3.4849999999999985,0.25786,6,55,0.00455827172845602
1954,3,1.77,0.25748000000000004,6,26,0.00522692920640111
1955,2,0.8210999999999999,0.2571,6,20,0.005136541090905666
1956,4,2.568399999999999,0.25672000000000006,6,46,0.009978637099266052
1957,3,1.5681999999999996,0.25634,6,44,0.005919142626225948
1958,1,-0.050899999999999945,0.2559600000000001,6,7,0.005105268210172653
1959,3,1.5753,0.25558000000000003,6,44,0.008286044001579285
1960,4,2.1978999999999993,0.2552,6,77,0.02440076880156994
1961,6,4.197899999999998,0.25482000000000005,6,82,0.010302568785846233
1962,1,-0.21189999999999998,0.25444,6,22,0.009963365271687508
1963,2,0.8452000000000002,0.25406000000000006,6,18,0.008047587238252163
1964,1,-0.15639999999999998,0.25368,6,17,0.008305266499519348
1965,1,-0.1926,0.25329999999999997,6,20,0.007887961342930794
1966,0,-1.0101,0.25292000000000003,6,2,0.014356781728565693
1967,0,-1.0,0.25254,6,1,0.009415121749043465
1968,2,0.77,0.25216000000000005,6,25,0.005445373244583607
1969,2,0.36640000000000006,0.2517800000000001,6,59,0.007280441932380199
1970,0,-1.0836000000000001,0.25139999999999996,6,9,0.011424344964325428
1971,0,-1.0101,0.25102,6,2,0.004912630654871464
1972,1,-0.12459999999999993,0.2506400000000001,6,14,0.0077554527670145035
1973,4,2.5924999999999994,0.25026000000000004,6,43,0.009384460747241974
1974,0,-1.0203,0.2498800000000001,6,3,0.008126097731292248
1975,2,0.8332999999999999,0.24950000000000006,6,19,0.006762349046766758
1976,0,-1.0945,0.24912,6,10,0.009138115681707859
1977,2,0.7683000000000004,0.24874000000000007,6,25,0.006310101132839918
1978,0,-1.0515,0.24836000000000003,6,6,0.008339498192071915
1979,2,0.7809000000000001,0.2479800000000001,6,24,0.009803229942917824
1980,0,-1.0101,0.24760000000000004,6,2,0.005335208028554916
1981,0,-1.0306,0.24722,6,4,0.009813825599849224
1982,0,-1.041,0.24684000000000006,6,5,0.005562471225857735
1983,3,1.7489,0.24646,6,28,0.008457720279693604
1984,0,-1.0945,0.24608000000000008,6,10,0.005379716400057077
1985,3,1.6796000000000002,0.24570000000000003,6,34,0.006515763700008392
1986,1,-0.1673,0.2453200000000001,6,18,0.0070458040572702885
1987,0,-1.0,0.24494000000000005,6,1,0.008469696156680584
1988,1,-0.07219999999999993,0.24456,6,9,0.008603518828749657
1989,0,-1.1505,0.24418000000000006,6,15,0.008891317993402481
1990,5,3.5031999999999996,0.24380000000000002,6,53,0.010965809226036072
1991,1,-0.12580000000000002,0.24342000000000008,6,14,0.006837708875536919
1992,0,-1.0101,0.24304000000000003,6,2,0.00868227519094944
1993,0,-1.0515,0.24266,6,6,0.007765518967062235
1994,0,-1.3728,0.24228000000000005,6,33,0.006347630638629198
1995,2,0.7909999999999999,0.2419,6,22,0.006935647688806057
1996,4,2.486499999999999,0.24152000000000007,6,53,0.008382023312151432
1997,1,-0.2669,0.24114000000000013,6,27,0.006180165335536003
1998,1,-0.10339999999999994,0.24075999999999997,6,12,0.00662555918097496
1999,1,-0.21110000000000007,0.24038000000000004,6,22,0.0057038250379264355
2000,1,-0.17830000000000001,0.24,6,19,0.010373282246291637
2001,3,1.8023000000000002,0.23962000000000006,6,23,0.006627996917814016
2002,0,-1.1505,0.23924000000000012,6,15,0.005121183581650257
2003,0,-1.1736,0.23885999999999996,6,17,0.009562601335346699
2004,2,0.6712000000000005,0.23848000000000003,6,34,0.008197382092475891
2005,1,-0.08360000000000001,0.23809999999999998,6,10,0.007928621023893356
